PUBLIC CASES - DETAILED RESULTS
==================================================

Case#	Days	Miles	Receipts	Expected	Predicted	Error
573	12	657	322.50	1113.16	1200.18	87.02
574	8	177	486.06	751.58	753.52	1.94
575	2	222	456.24	437.40	424.24	13.16
576	3	555	2342.76	1458.63	1451.90	6.73
577	2	785	1964.63	1522.76	1507.72	15.04
578	5	104	281.67	464.68	537.30	72.62
579	1	673	2026.16	1372.83	1382.97	10.14
580	10	877	1711.12	1897.37	1860.91	36.46
581	1	250	1300.17	1145.33	1161.25	15.92
582	1	467	296.49	221.23	218.01	3.22
583	10	1026	828.82	1865.67	1754.87	110.80
584	11	1106	2250.54	2050.62	1959.37	91.25
585	12	452	816.56	1243.10	1218.13	24.97
586	14	865	2497.16	1885.87	1869.45	16.42
587	8	107	2450.89	1468.19	1324.56	143.63
588	8	80	1092.18	1365.73	1261.10	104.63
589	8	945	766.98	1625.53	1625.76	0.23
590	13	1140	1607.80	2214.64	2157.52	57.12
591	2	636	1438.19	1435.96	1445.15	9.19
592	14	865	1422.11	1921.18	1932.91	11.73
593	12	482	1710.47	1746.74	1764.64	17.90
594	2	68	756.61	648.53	663.77	15.24
595	14	512	526.84	1306.64	1275.27	31.37
596	14	1001	1647.24	2080.00	2037.56	42.44
597	1	547	573.60	616.27	559.88	56.39
598	10	5	1338.90	1610.25	1581.37	28.88
599	3	1158	1107.40	1361.30	1412.27	50.97
600	1	993	1143.58	1328.85	1153.03	175.82
601	6	378	837.63	1215.96	1178.41	37.55
602	11	1156	2231.86	1988.56	1964.01	24.55
603	5	1050	882.86	1430.04	1498.69	68.65
604	8	836	735.52	1606.63	1515.49	91.14
605	11	654	1516.42	1870.43	1846.71	23.72
606	8	633	1308.36	1639.12	1422.24	216.88
607	12	713	1642.01	1873.19	1908.41	35.22
608	5	96	1105.47	1312.16	1322.11	9.95
609	7	1054	576.47	1344.18	1341.41	2.77
610	12	495	1948.13	1831.92	1788.01	43.91
611	1	1068	2011.28	1421.45	1200.19	221.26
612	7	1000	1620.46	1971.23	1943.64	27.59
613	13	855	1798.75	1951.77	1950.10	1.67
614	8	544	1279.51	1483.77	1330.18	153.59
615	11	816	544.99	1077.12	898.00	179.12
616	5	1080	2383.82	1664.76	1681.45	16.69
617	8	1124	1908.69	1833.27	1842.09	8.82
618	3	29	1632.85	1269.10	1206.14	62.96
619	6	470	2235.72	1628.60	1637.38	8.78
620	7	287	2293.50	1558.09	1575.23	17.14
621	4	72	1367.29	1302.97	1305.95	2.98
622	6	344	233.31	800.18	796.96	3.22
623	8	801	1241.21	1780.65	1765.28	15.37
624	5	629	484.34	1029.87	1003.72	26.15
625	11	327	961.08	1356.46	1394.60	38.14
626	14	94	105.94	1180.63	958.78	221.85
627	4	1113	2103.82	1695.08	1642.33	52.75
628	14	267	2090.21	1968.40	1852.97	115.43
629	1	979	1292.54	1313.53	1137.57	175.96
630	10	625	519.94	1229.41	1150.92	78.49
631	14	457	848.61	1492.64	1391.39	101.25
632	11	398	723.39	1154.77	1128.40	26.37
633	14	68	438.96	866.76	860.49	6.27
634	3	769	2497.93	1587.80	1546.20	41.60
635	13	694	1054.31	1815.02	1771.96	43.06
636	12	1088	1977.91	1883.21	1901.85	18.64
637	9	101	950.23	1281.64	1269.36	12.28
638	1	170	2452.85	1209.08	1194.18	14.90
639	12	1135	475.95	1447.39	1430.96	16.43
640	3	1109	2092.26	1436.66	1460.75	24.09
641	7	753	358.13	1084.79	1068.27	16.52
642	2	521	467.19	667.85	553.94	113.91
643	12	1003	983.23	1996.18	1987.93	8.25
644	3	269	708.05	799.12	726.42	72.70
645	14	646	2418.19	1931.21	1897.69	33.52
646	14	1153	346.58	1292.93	1343.87	50.94
647	4	18	289.06	380.88	422.48	41.60
648	13	1167	1074.36	2197.33	2147.19	50.14
649	1	1113	1536.00	1403.60	1153.31	250.29
650	6	930	1907.95	1788.75	1814.51	25.76
651	5	714	617.72	1164.20	1155.37	8.83
652	7	256	2180.53	1548.87	1562.80	13.93
653	9	1063	2497.79	1761.94	1777.45	15.51
654	11	512	2016.19	1710.53	1717.72	7.19
655	9	463	1024.53	1476.48	1432.92	43.56
656	12	714	2003.23	1829.06	1855.14	26.08
657	9	1165	1868.79	1945.95	1926.96	18.99
658	1	872	2420.07	1456.34	1215.86	240.48
659	10	631	1220.71	1730.86	1685.47	45.39
660	9	633	888.17	1384.78	1421.70	36.92
661	4	1065	119.34	781.82	783.37	1.55
662	12	947	193.05	1225.63	1276.54	50.91
663	4	159	568.58	647.00	624.54	22.46
664	1	292	449.83	363.02	359.37	3.65
665	1	1115	926.13	1192.88	1005.52	187.36
666	7	1168	667.94	1639.55	1493.67	145.88
667	4	348	2047.08	1507.04	1495.93	11.11
668	8	77	1930.98	1485.69	1321.59	164.10
669	7	1033	1013.03	2119.83	2066.15	53.68
670	4	672	1603.52	1612.43	1607.49	4.94
671	4	1191	999.45	1478.93	1402.96	75.97
672	8	392	661.27	978.13	968.00	10.13
673	7	951	584.40	1253.76	1318.20	64.44
674	5	778	2423.47	1643.96	1705.64	61.68
675	11	958	1999.13	1900.18	1860.71	39.47
676	3	186	1068.31	1152.04	1109.27	42.77
677	5	1116	2460.46	1711.97	1685.48	26.49
678	13	63	107.92	710.25	761.60	51.35
679	6	170	476.99	600.23	491.84	108.39
680	3	870	413.23	795.80	801.37	5.57
681	12	852	1957.90	1944.89	1897.51	47.38
682	6	420	386.77	929.16	900.23	28.93
683	6	668	1922.45	1796.98	1745.28	51.70
684	8	795	1645.99	644.69	928.86	284.17
685	4	420	927.74	1238.04	1225.75	12.29
686	12	1074	2407.71	1843.97	1835.60	8.37
687	12	916	2394.85	1740.85	1777.91	37.06
688	4	1075	586.17	1023.65	994.97	28.68
689	5	1143	1217.72	1745.09	1664.52	80.57
690	2	719	591.44	755.30	838.08	82.78
691	4	197	1858.84	1416.33	1430.34	14.01
692	6	248	395.40	710.15	697.87	12.28
693	10	834	1820.80	1883.49	1817.90	65.59
694	1	1112	2011.44	1423.85	1156.89	266.96
695	12	1189	1453.16	2162.13	2167.37	5.24
696	14	269	1349.61	1832.34	1825.10	7.24
697	7	671	1262.85	1600.42	1654.62	54.20
698	9	52	350.58	601.81	685.18	83.37
699	14	976	1526.58	1995.87	2007.22	11.35
700	2	370	1554.50	1311.23	1326.08	14.85
701	4	1180	1948.55	1565.16	1592.93	27.77
702	5	36	2022.94	1410.58	1382.08	28.50
703	5	691	1030.64	1465.26	1494.71	29.45
704	8	52	2353.50	1485.05	1317.70	167.35
705	11	24	2029.04	1569.37	1591.03	21.66
706	8	221	936.98	1287.00	1134.33	152.67
707	1	85	89.83	175.53	181.57	6.04
708	7	803	12.75	1146.78	1069.72	77.06
709	12	893	910.41	1862.13	1811.57	50.56
710	14	113	1091.13	1703.02	1674.35	28.67
711	5	516	1878.49	669.85	685.89	16.04
712	14	904	2005.96	1970.01	1957.50	12.51
713	1	1058	1601.04	1465.90	1211.43	254.47
714	14	555	313.73	1201.26	1181.03	20.23
715	7	738	730.28	1429.72	1346.18	83.54
716	8	792	2437.24	1556.70	1436.68	120.02
717	5	831	432.80	901.36	972.22	70.86
718	7	709	320.80	1116.62	1062.50	54.12
719	9	1078	161.85	1260.96	1209.01	51.95
720	2	616	968.93	1163.10	1167.16	4.06
721	2	570	2297.12	1423.86	1430.71	6.85
722	9	13	986.41	1271.52	1322.27	50.75
723	7	381	2106.96	1705.27	1677.57	27.70
724	9	460	2424.47	1624.68	1633.83	9.15
725	4	425	1286.54	1449.26	1443.29	5.97
726	11	437	1053.24	1630.47	1560.06	70.41
727	9	1000	1901.79	1778.65	1820.79	42.14
728	1	553	1687.11	1295.34	1292.29	3.05
729	10	5	1094.06	1361.08	1425.70	64.62
730	12	931	864.21	1663.58	1763.00	99.42
731	6	436	914.53	1389.11	1291.07	98.04
732	3	1074	247.32	636.02	729.40	93.38
733	9	896	1398.54	1727.10	1809.24	82.14
734	1	462	2047.57	1202.90	1224.31	21.41
735	3	665	2418.16	1490.96	1515.90	24.94
736	11	532	2419.86	1653.69	1687.80	34.11
737	9	483	52.64	949.04	898.22	50.82
738	12	296	326.83	981.72	983.22	1.50
739	9	131	1990.00	1557.20	1570.89	13.69
740	6	836	2035.17	1718.79	1757.20	38.41
741	10	532	1223.36	1631.49	1635.83	4.34
742	14	595	2140.61	1989.13	1968.53	20.60
743	7	623	1894.02	1739.49	1714.34	25.15
744	5	1077	2234.35	1665.23	1688.09	22.86
745	5	579	1018.52	1468.01	1425.70	42.31
746	8	255	1817.19	1510.91	1347.39	163.52
747	8	1009	1378.07	1903.76	1936.16	32.40
748	10	87	498.96	781.97	805.56	23.59
749	1	809	1734.56	1447.25	1203.12	244.13
750	9	1079	1981.94	1763.16	1802.84	39.68
751	8	1134	1049.84	2073.13	2081.20	8.07
752	8	403	654.97	895.14	951.62	56.48
753	8	534	429.88	916.02	951.52	35.50
754	13	564	2245.56	1745.09	1836.57	91.48
755	2	752	958.29	1144.41	1188.43	44.02
756	11	293	1410.00	1673.70	1667.46	6.24
757	5	919	470.23	1119.17	1069.12	50.05
758	5	103	333.22	573.58	562.39	11.19
759	1	893	19.76	570.71	483.28	87.43
760	12	37	52.65	789.01	767.79	21.22
761	8	1142	776.74	1827.44	1673.62	153.82
762	5	332	218.03	801.73	769.05	32.68
763	7	950	1739.62	2032.23	1919.82	112.41
764	9	223	1916.03	1623.73	1596.29	27.44
765	6	522	1210.87	1577.01	1571.74	5.27
766	12	46	2077.07	1666.29	1657.40	8.89
767	2	252	1545.94	1300.19	1298.15	2.04
768	14	999	619.42	1510.57	1490.90	19.67
769	13	125	2004.61	1721.56	1738.01	16.45
770	9	597	625.99	990.84	821.60	169.24
771	3	289	853.79	969.85	953.06	16.79
772	7	953	1918.24	1833.56	1846.38	12.82
773	4	275	2359.64	1483.58	1482.24	1.34
774	5	755	1584.41	1729.08	1726.94	2.14
775	9	803	880.17	1589.75	1643.69	53.94
776	11	293	285.14	966.87	947.11	19.76
777	6	164	1460.21	1535.30	1535.55	0.25
778	12	675	2277.93	1807.33	1801.60	5.73
779	11	859	146.71	1267.98	1222.86	45.12
780	2	296	1878.70	1354.00	1336.87	17.13
781	7	300	2417.85	1634.04	1627.85	6.19
782	2	1155	1517.18	1543.17	1523.92	19.25
783	5	765	480.48	1038.42	990.84	47.58
784	9	1097	2330.20	1728.07	1785.65	57.58
785	4	422	2049.71	1491.90	1502.86	10.96
786	14	1020	510.33	1406.95	1463.62	56.67
787	4	205	545.57	682.22	623.89	58.33
788	12	1046	1850.85	1875.72	1925.76	50.04
789	4	1001	739.08	1116.31	1121.22	4.91
790	9	938	742.17	1632.10	1590.98	41.12
791	5	351	407.74	883.11	830.27	52.84
792	9	748	653.42	1249.66	1287.30	37.64
793	13	1186	2462.26	1906.35	1940.67	34.32
794	6	384	1656.04	1682.33	1641.61	40.72
795	10	150	418.41	844.90	825.20	19.70
796	10	783	158.93	993.55	1032.27	38.72
797	6	372	2494.69	1742.34	1672.74	69.60
798	10	958	1643.76	1827.18	1869.19	42.01
799	8	34	1225.20	1438.52	1300.26	138.26
800	7	151	2461.93	1516.58	1537.01	20.43
801	7	150	1379.35	1500.09	1515.71	15.62
802	6	751	2085.98	1757.81	1764.45	6.64
803	7	568	159.12	738.92	825.71	86.79
804	12	574	2240.90	1785.72	1771.10	14.62
805	13	36	808.38	1190.16	1225.89	35.73
806	14	595	1818.77	1889.90	1922.12	32.22
807	7	381	2342.27	1705.24	1681.37	23.87
808	14	174	815.30	1295.14	1252.83	42.31
809	11	226	2013.45	1590.82	1611.93	21.11
810	13	137	1505.66	1777.72	1751.42	26.30
811	13	774	206.45	1110.00	1197.39	87.39
812	5	1120	1514.91	1658.97	1674.04	15.07
813	4	862	2335.55	1698.94	1666.82	32.12
814	8	829	1147.89	2004.34	1896.34	108.00
815	4	380	446.66	764.24	664.42	99.82
816	9	238	1197.83	1560.78	1550.71	10.07
817	13	1199	493.00	1634.13	1545.44	88.69
818	12	710	1249.41	1921.09	1880.52	40.57
819	14	719	1973.14	1980.99	1953.19	27.80
820	1	482	1697.08	1198.24	1221.54	23.30
821	9	444	725.31	1062.52	1083.68	21.16
822	11	610	1990.79	1753.56	1751.29	2.27
823	4	238	1707.28	1483.48	1459.06	24.42
824	2	299	1612.70	1282.80	1302.29	19.49
825	10	273	799.90	1155.05	1118.22	36.83
826	3	154	274.04	406.91	401.69	5.22
827	7	636	697.02	1276.06	1282.47	6.41
828	2	1038	685.07	962.14	991.06	28.92
829	2	798	2334.41	1485.40	1485.35	0.05
830	12	601	2166.56	1918.46	1819.87	98.59
831	6	290	814.04	1077.35	1043.47	33.88
832	8	16	259.02	543.56	579.09	35.53
833	8	303	1072.44	1453.25	1284.82	168.43
834	11	372	2048.26	1632.61	1635.05	2.44
835	3	864	2338.52	1513.04	1533.99	20.95
836	11	913	2253.41	1758.56	1775.81	17.25
837	14	805	834.06	1683.49	1648.86	34.63
838	5	905	2317.31	1691.38	1728.30	36.92
839	10	728	226.53	1060.47	1058.27	2.20
840	4	842	893.25	1324.64	1346.90	22.26
841	5	117	953.06	1116.80	1164.19	47.39
842	12	307	957.17	1432.75	1431.69	1.06
843	9	51	314.81	704.94	682.07	22.87
844	7	1071	841.11	1699.90	1775.24	75.34
845	13	922	1510.22	1967.87	1970.80	2.93
846	8	867	2373.39	1747.22	1568.27	178.95
847	11	1013	1483.30	1952.80	1968.58	15.78
848	6	1148	1525.81	1776.48	1838.68	62.20
849	12	158	2195.67	1625.46	1649.72	24.26
850	5	1010	2054.21	1810.37	1747.11	63.26
851	1	682	1517.04	1376.04	1378.03	1.99
852	5	14	78.33	406.70	506.93	100.23
853	6	1203	1900.48	1972.88	1912.54	60.34
854	4	810	1852.31	1575.87	1624.30	48.43
855	3	760	2073.25	1522.45	1534.23	11.78
856	7	868	625.09	1403.48	1404.22	0.74
857	7	205	103.31	683.10	658.45	24.65
858	5	387	1882.35	1588.80	1565.52	23.28
859	11	447	130.07	852.02	954.78	102.76
860	9	482	1348.44	1633.26	1602.91	30.35
861	7	15	2436.67	1459.63	1505.98	46.35
862	10	955	1182.33	1950.30	1977.02	26.72
863	5	41	2314.68	1500.28	1391.32	108.96
864	2	1189	1164.74	1666.52	1507.83	158.69
865	2	762	519.74	752.69	702.63	50.06
866	10	895	937.46	1714.80	1759.57	44.77
867	13	858	2258.01	1889.71	1888.05	1.66
868	11	650	524.80	1179.09	1205.43	26.34
869	4	198	2106.63	1450.67	1442.98	7.69
870	1	791	1927.75	1419.88	1419.53	0.35
871	14	1020	1201.75	2337.73	2199.50	138.23
872	12	59	2247.39	1629.92	1624.04	5.88
873	8	626	545.84	1142.89	1138.94	3.95
874	5	57	559.05	639.73	672.47	32.74
875	5	908	716.70	1375.88	1338.00	37.88
876	13	8	78.44	713.71	767.36	53.65
877	11	684	672.51	1487.93	1371.26	116.67
878	4	180	2365.46	1443.02	1430.03	12.99
879	13	511	1628.33	1915.79	1893.60	22.19
880	4	231	20.39	499.26	521.80	22.54
881	9	1139	1973.31	1759.33	1816.43	57.10
882	9	578	1167.71	1587.21	1568.93	18.28
883	14	530	2028.06	2079.14	1964.93	114.21
884	7	316	141.89	837.80	789.71	48.09
885	2	897	2382.39	1437.95	1468.81	30.86
886	12	121	608.92	1033.44	1024.43	9.01
887	4	764	1417.94	1682.10	1612.45	69.65
888	11	663	2141.08	1715.29	1752.62	37.33
889	3	91	1640.15	1338.30	1328.69	9.61
890	1	1035	1289.84	1317.33	1139.66	177.67
891	7	125	193.62	616.24	613.70	2.54
892	12	437	639.96	1183.74	1158.24	25.50
893	4	84	2243.12	1392.10	1367.25	24.85
894	5	716	1316.60	1686.98	1684.98	2.00
895	12	18	2461.37	1556.78	1604.64	47.86
896	3	560	1664.15	1419.48	1424.61	5.13
897	3	504	63.39	568.17	562.67	5.50
898	5	1126	664.90	1336.74	1294.41	42.33
899	1	1092	390.55	589.11	501.37	87.74
900	11	273	502.37	862.61	893.51	30.90
901	4	6	458.70	459.21	463.38	4.17
902	1	620	490.45	678.74	654.11	24.63
903	5	659	2083.15	1645.06	1682.41	37.35
904	12	353	2150.17	1765.67	1714.83	50.84
905	13	618	1982.27	2000.39	1956.38	44.01
906	2	1158	2355.92	1528.91	1520.81	8.10
907	3	512	1251.60	1360.76	1349.41	11.35
908	5	840	941.55	1676.48	1556.01	120.47
909	7	1086	2319.81	1858.36	1845.61	12.75
910	13	1152	864.45	1797.14	1893.49	96.35
911	4	840	1375.42	1580.95	1588.80	7.85
912	4	724	89.99	667.98	555.40	112.58
913	3	327	2141.92	1438.41	1415.62	22.79
914	13	1055	2005.84	1997.52	1952.10	45.42
915	1	931	327.97	609.73	498.30	111.43
916	10	108	2181.67	1632.42	1598.15	34.27
917	13	1204	24.47	1344.17	1359.93	15.76
918	5	517	919.25	1288.31	1312.53	24.22
919	8	897	1536.36	1944.62	1887.42	57.20
920	12	988	2492.79	1753.84	1778.67	24.83
921	1	1041	1630.25	1466.95	1211.38	255.57
922	10	454	2359.42	1619.00	1617.96	1.04
923	5	406	1084.16	1399.39	1404.52	5.13
924	4	103	1790.07	1394.55	1374.98	19.57
925	11	198	269.95	695.66	799.59	103.93
926	4	477	18.97	631.50	623.22	8.28
927	11	67	2455.53	1572.91	1593.55	20.64
928	7	789	185.73	966.26	1012.09	45.83
929	13	70	993.70	1492.02	1525.77	33.75
930	12	59	858.62	1377.35	1338.84	38.51
931	3	1027	180.00	804.96	769.39	35.57
932	3	275	543.74	572.73	570.37	2.36
933	12	180	384.42	873.97	891.80	17.83
934	3	334	2449.89	1472.53	1418.82	53.71
935	7	759	1694.02	1960.92	1848.69	112.23
936	10	174	1991.96	1542.40	1586.74	44.34
937	1	780	366.37	516.69	557.27	40.58
938	9	934	415.50	1208.82	1227.28	18.46
939	8	936	556.28	1277.26	1328.73	51.47
940	1	1002	2320.13	1475.40	1218.59	256.81
941	7	83	137.84	482.65	549.31	66.66
942	9	191	789.52	1058.50	1039.24	19.26
943	3	280	1090.37	1256.92	1243.60	13.32
944	5	644	2383.17	1785.53	1716.57	68.96
945	10	498	992.86	1395.03	1448.50	53.47
946	4	317	1793.28	1518.93	1489.70	29.23
947	4	1100	370.61	860.32	831.11	29.21
948	4	263	2469.06	1503.98	1480.40	23.58
949	4	932	1287.34	1513.28	1547.93	34.65
950	14	343	2013.40	1839.05	1859.94	20.89
951	2	274	888.24	917.79	963.08	45.29
952	1	759	330.29	500.92	546.34	45.42
953	8	204	2178.45	1506.38	1344.72	161.66
954	10	396	2068.65	1556.68	1584.27	27.59
955	6	840	870.82	1496.46	1648.46	152.00
956	7	756	1473.59	1961.96	1854.66	107.30
957	4	1048	279.75	780.15	804.71	24.56
958	9	800	39.96	1158.68	1077.17	81.51
959	3	240	1895.67	1386.33	1383.30	3.03
960	13	997	920.48	2124.16	1993.51	130.65
961	2	826	2163.39	1523.26	1498.90	24.36
962	6	194	914.25	1168.72	1205.34	36.62
963	4	333	1934.76	1467.52	1490.70	23.18
964	8	1053	1864.01	1794.57	1814.61	20.04
965	12	466	1291.33	1770.37	1767.64	2.73
966	8	916	2417.62	1755.05	1576.60	178.45
967	11	322	1251.30	1732.46	1682.71	49.75
968	13	11	1114.96	1555.48	1599.57	44.09
969	7	250	364.79	718.71	706.28	12.43
970	5	247	296.51	594.93	615.19	20.26
971	14	1158	2104.61	1899.69	1985.75	86.06
972	11	1095	1071.83	2159.33	2134.76	24.57
973	11	1149	270.81	1284.51	1320.22	35.71
974	9	14	1057.38	1372.31	1385.58	13.27
975	4	184	983.77	1202.69	1153.72	48.97
976	6	135	2488.22	1561.20	1545.91	15.29
977	5	717	1508.97	1722.49	1713.07	9.42
978	1	389	1964.96	1228.94	1214.76	14.18
979	3	1136	1296.54	1536.60	1500.27	36.33
980	13	145	2202.42	1716.13	1738.17	22.04
981	1	1122	861.50	1081.05	973.05	108.00
982	14	383	97.95	1203.93	1072.77	131.16
983	1	309	1211.37	1110.55	1162.94	52.39
984	14	1090	2248.68	1905.50	1917.03	11.53
985	3	278	994.90	1167.78	1106.58	61.20
986	7	1109	2397.29	1917.57	1857.60	59.97
987	12	643	2194.16	1758.03	1787.90	29.87
988	11	176	1050.67	1444.13	1501.54	57.41
989	7	309	1021.75	1309.85	1367.80	57.95
990	3	992	1897.41	1539.00	1518.99	20.01
991	3	175	440.19	431.17	430.94	0.23
992	5	895	2329.69	1791.96	1746.97	44.99
993	8	372	348.37	950.24	910.33	39.91
994	5	567	193.11	718.30	795.83	77.53
995	8	978	710.43	1624.58	1590.66	33.92
996	1	1082	1809.49	446.94	575.22	128.28
997	11	636	2238.97	1699.94	1733.24	33.30
998	6	370	315.09	946.39	891.40	54.99
999	8	413	222.83	802.95	840.51	37.56
1000	3	399	141.39	546.04	535.46	10.58
